WORLD LOG
=========
World(0/1000), Systems: 4317, Ships: 5, Rebels: 35
StarSystem{loc=(336.39820756109265, 664.8747824102574, 569.7905928316206), nNeigh=19, name='StarID_00000'}
StarSystem{loc=(365.42928020806823, 665.040708415834, 532.4560724212773), nNeigh=20, name='StarID_00001'}
StarSystem{loc=(334.49197938313785, 652.9487684886358, 530.8383072214319), nNeigh=22, name='StarID_00002'}
StarSystem{loc=(364.03751084850006, 671.1867662955483, 537.7379705556203), nNeigh=21, name='StarID_00003'}
StarSystem{loc=(348.13526507301987, 668.9576114180929, 527.9424162320033), nNeigh=22, name='StarID_00004'}
StarSystem{loc=(350.56267209346254, 666.1817437818704, 538.9537384618394), nNeigh=21, name='StarID_00005'}
StarSystem{loc=(362.7292779699409, 683.5636121506482, 549.5722442352586), nNeigh=20, name='StarID_00006'}
StarSystem{loc=(341.1082212282602, 693.2554088580061, 555.7404777487282), nNeigh=17, name='StarID_00007'}
StarSystem{loc=(340.96381907711253, 666.4856276214024, 506.52813771829983), nNeigh=17, name='StarID_00008'}
StarSystem{loc=(351.2084215385289, 664.1116626657964, 531.8209583222639), nNeigh=22, name='StarID_00009'}
StarSystem{loc=(352.6681082723866, 662.5499799827032, 542.7964213921182), nNeigh=21, name='StarID_00010'}
StarSystem{loc=(338.8984765441316, 672.4067017492887, 551.0968075657462), nNeigh=21, name='StarID_00011'}
StarSystem{loc=(368.36791741145424, 659.3346532881666, 562.8492706576142), nNeigh=18, name='StarID_00012'}
StarSystem{loc=(315.8240671412519, 678.7328020617097, 540.178963217074), nNeigh=17, name='StarID_00013'}
StarSystem{loc=(337.9998626236828, 657.6104048974387, 521.285581793254), nNeigh=20, name='StarID_00014'}
StarSystem{loc=(350.46039830982124, 662.0849596344593, 555.1751560141741), nNeigh=21, name='StarID_00015'}
StarSystem{loc=(357.7885293184048, 645.9544859294641, 570.0325911638756), nNeigh=17, name='StarID_00016'}
StarSystem{loc=(346.58397594698107, 669.1073385258009, 551.7734749177663), nNeigh=21, name='StarID_00017'}
StarSystem{loc=(348.0163454021474, 664.2715353339568, 552.3658276766157), nNeigh=21, name='StarID_00018'}
StarSystem{loc=(355.04962742519183, 668.8448448958928, 529.8103249188007), nNeigh=21, name='StarID_00019'}
StarSystem{loc=(358.0312038380424, 648.738885897214, 521.0500617529237), nNeigh=19, name='StarID_00020'}
StarSystem{loc=(349.9066208793109, 643.3030389328801, 552.921861513223), nNeigh=18, name='StarID_00021'}
