WORLD LOG
=========
World(0/1000), Systems: 4405, Ships: 6, Rebels: 36
StarSystem{loc=(553.3070750729933, 693.7653927853236, 57.629302803708), nNeigh=31, name='StarID_00000'}
StarSystem{loc=(550.3595878109306, 705.5393642001983, 49.929958264448274), nNeigh=31, name='StarID_00001'}
StarSystem{loc=(556.9893244564842, 695.2057394418666, 50.9381030206325), nNeigh=31, name='StarID_00002'}
StarSystem{loc=(538.9035125931456, 701.9398410282929, 49.639727964289094), nNeigh=31, name='StarID_00003'}
StarSystem{loc=(556.8931391806607, 704.6303778758224, 41.99753999284415), nNeigh=31, name='StarID_00004'}
StarSystem{loc=(556.2028727862928, 705.491950975921, 45.68363047188848), nNeigh=31, name='StarID_00005'}
StarSystem{loc=(562.5712033806825, 708.0530254577508, 39.93902714328891), nNeigh=31, name='StarID_00006'}
StarSystem{loc=(568.231020327775, 688.9778768878291, 29.101293176683477), nNeigh=32, name='StarID_00007'}
StarSystem{loc=(548.9158030843525, 707.5842959373389, 64.62717084878489), nNeigh=31, name='StarID_00008'}
StarSystem{loc=(557.2921111246915, 707.3408500590176, 16.067935563978992), nNeigh=30, name='StarID_00009'}
StarSystem{loc=(554.5898148157407, 723.0134870899662, 45.19713104678668), nNeigh=31, name='StarID_00010'}
StarSystem{loc=(553.663614010172, 703.4941896268823, 34.29872993736969), nNeigh=31, name='StarID_00011'}
StarSystem{loc=(564.5734870198404, 700.0745203480213, 41.509811543790995), nNeigh=31, name='StarID_00012'}
StarSystem{loc=(540.8926636635692, 700.3493083096464, 16.81355274992723), nNeigh=30, name='StarID_00013'}
StarSystem{loc=(555.2788998389066, 701.8225384104204, 46.07228223600224), nNeigh=31, name='StarID_00014'}
StarSystem{loc=(555.2420746050835, 702.9037843051564, 38.67323251039273), nNeigh=31, name='StarID_00015'}
StarSystem{loc=(555.780430869309, 703.8028888351637, 42.67234943377174), nNeigh=31, name='StarID_00016'}
StarSystem{loc=(548.3970174631572, 692.7184122096729, 61.6857829705993), nNeigh=31, name='StarID_00017'}
StarSystem{loc=(555.377343841111, 703.1203272257264, 45.385683196846145), nNeigh=31, name='StarID_00018'}
StarSystem{loc=(554.2749640149198, 704.2140013216753, 45.44363597326451), nNeigh=31, name='StarID_00019'}
StarSystem{loc=(563.2803082731465, 707.7526863133542, 69.32286808219918), nNeigh=29, name='StarID_00020'}
StarSystem{loc=(560.4431066265205, 692.2711156886564, 37.96912628174458), nNeigh=31, name='StarID_00021'}
StarSystem{loc=(553.3071573147237, 703.3089717967563, 49.24797283939349), nNeigh=31, name='StarID_00022'}
